"%s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%s được thêm vào danh sách yêu thích của bạn. Truy cập <a href=""%2$s"">here</a> để tiếp tục mua bán"
"%s has been added to your wishlist. Click <a href=""%s"">here</a> to continue shopping.","%s được thêm vào danh sách yêu thích của bạn. Truy cập <a href=""%s"">here</a> để tiếp tục mua bán."
"%d product(s) have been added to shopping cart: %s.","%d sản phẩm vừa được thêm vào Giỏ hàng: %s."
"%s's Wishlist","%s's Danh sách yêu thích"
"* Required Fields","* Trường bắt buộc"
"Add All to Cart","Thêm vào Giỏ hàng"
"Add to Cart","Đưa vào giỏ hàng"
"Add to Wishlist","Thêm vào Wishlist"
"Added On","Đã được thêm"
"Are you sure you want to remove this product from your wishlist?","Bạn có chắc xoá sản phẩm này khỏi danh sách yêu thích?"
"Are you sure you would like to remove this item from the wishlist?","Bạn có chắc xoá sản phẩm này khỏi danh sách yêu thích?"
"Back","Quay lại"
"Can\'t save description %s","Không thể lưu mô tả %s"
"Can\'t specify product","Không thể xác định sản phẩm"
"Can\'t specify wishlist","Không thể xác định danh sách yêu thích"
"Cannot add item to shopping cart","Không thể thêm sản phẩm vào Giỏ hàng"
"Cannot add to shopping cart","Không thể thêm vào Giỏ hàng"
"Cannot create wishlist","Không thể tạo Danh sách yêu thích"
"Cannot specify product","Không thể xác định sản phẩm"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Kiểm tra hộp thoại nếu bạn muốn thêm liên kết vào rss feed tới danh sách yêu thích."
"Comment","Nhận xét"
"Comment:","Nhận xét:"
"Customer My Account My Wishlist","Khách hàng Tài khoản Danh sách yêu thích"
"Customer My Account Wishlist Sharing Form","Khách hàng Tài khoản Wishlist Chia sẻ Bảng mẫu"
"Customer Shared Wishlist View","Khách hàng Được chia sẻ Wishlist Xem"
"Email Sender","Người gửi Email"
"Email Template","Mẫu Email"
"Email address can\'t be empty.","Địa chỉ email không thể bỏ trống."
"Email addresses, separated by commas","Những địa chỉ email, cách nhau bởi dấu phẩy"
"Enabled","Được kích hoạt"
"General Options","Lựa chọn chung"
"Go to Wishlist","Tới danh sách yêu thích"
"Last Added Items","Last Added Items"
"Message","Tin nhắn"
"My Wishlist","Danh sách yêu thích"
"My Wishlist (%d item)","Danh sách yêu thích (%d SP)"
"My Wishlist (%d items)","Danh sách yêu thích (%d SP)"
"My Wishlist <small>(%d)</small>","Danh sách yêu thích <small>(%d)</small>"
"Out of stock","Hết hàng"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Nhập địa chỉ email chính xách, phân cách bởi dấu phẩy. Ví dụ admin@on360.vn, phuongmv@on360.vn."
"Please input a valid email address.","Xin hãy nhập đúng địa chỉ email."
"Please, enter your comments...","Xin nhập nhận xét của bạn..."
"Product","Sản phẩm"
"Product(s) %s grouped. Each of them can be added to cart separately only.","Sản phẩm %s được nhóm. Mỗi sản phẩm trong số chúng được thêm vào Giỏ hàng riêng lẻ."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Sản phẩm %s vừa yêu cầu lựa chọn. Mỗi sản phẩm trong số chúng được thêm vào Giỏ hàng riêng lẻ."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Liên kết RSS %s' danh sách yêu thích"
"Remove Item","Xoá sản phẩm"
"Remove This Item","Xoá sản phẩm này"
"Remove item","Xoá sản phẩm"
"Share Wishlist","Chia sẻ"
"Share Your Wishlist","Chia sẻ"
"Share options","Chia sẻ lựa chọn"
"Sharing Information","Chia sẻ thông tin"
"There was an error while adding item to wishlist.","Có một lỗi trong khi thêm sản phẩm vào danh sách yêu thích."
"There was an error while adding item to wishlist: %s","Có một lỗi trong khi thêm sản phẩm vào danh sách yêu thích: %s"
"There was an error while deleting item from wishlist.","Có một lỗi trogn khi xoá sản pẩm từ danh sách yêu thích."
"There was an error while deleting item from wishlist: %s","Có một lỗi trogn khi xoá sản pẩm từ danh sách yêu thích: %s"
"This product(s) is currently out of stock","Sản phẩm này đang hết hàng"
"Unable to add the following product(s) to shopping cart: %s.","Không thể thêm những sản phẩm sau vào Giỏ hàng: %s."
"Update Wishlist","Cập nhật"
"View Product","Xem sản phẩm"
"Wishlist","Danh sách yêu thích"
"Wishlist Section","Mục Danh sách yêu thích"
"Wishlist Sharing","Chia sẻ Danh sách yêu thích"
"Wishlist is empty now.","Danh sách yêu thích đang trống."
"You have no items in your wishlist.","Bạn không có sản phẩm nào trong danh sách yêu thích."
"Your Wishlist was successfully shared","Danh sách yêu thích được chia sẻ tành công"
"Product Details and Comment","Chi tiết Sản phẩm và nhận xét của bạn"
