"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieses Kundenkonto ist nicht best&auml;tigt. <a href=""%s"">Hier klicken</a>, um Best&auml;tigungsmail erneut zu versenden."
"Login and password are required","Login und Passwort notwendig"
"Coupon code ""%s"" was applied successfully.","Rabatt Coupon code ""%s"" erfolgreich zugewiesen."
"Coupon code ""%s"" is not valid.","Rabatt Coupon Code ""%s"" ist ung&uuml;ltig."
"Coupon code was canceled successfully.","Rabatt Coupon Code erfolgreich abgebrochen."
"Please agree to all Terms and Conditions before placing the order.","Bitte best&auml;tigen Sie unsere AGB und das Widerrufsrecht, bevor Sie Ihre Bestellung absenden."
"Billing address error","Fehler in der Rechnungsanschrift"
"Shipping address error","Fehler in der Lieferanschrift"
"There was an error processing your order. Please contact us or try again later.","Beim Prozessieren Ihrer Bestellung gab es leider einen Fehler. Bitte kontaktieren Sie uns oder versuchen Sie es sp&auml;ter noch einmal."
"Please select a static block ...","Please select a static block ..."
"Invalid data.","Ung&uuml;ltige Daten."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address.","Es gibt bereits ein Kundenkonto mit dieser Email-Adresse. Bitte loggen Sie sich mit dieser Email-Adresse ein oder nutzen Sie eine andere Email-Adresse."
"Invalid shipping address.","Ung&uuml;ltige Lieferanschrift."
"Invalid email address ""%s""","Ung&uuml;ltige Email-Adresse ""%s"""
"Billing Address","Rechnungsanschrift"
"First Name","Vorname"
"Email Address","Email-Adresse"
"Last Name","Nachname"
"Street line","Stra&szlig;e"
"Country","Land"
"State/Province","Bundesland"
"Please select region"," state or province","Bitte Bundesland"," w&auml;hlen"
"Telephone","Telefon"
"Zip/Postal Code","Postleitzahl"
"Fax","Fax"
"City","Stadt"
"Company","Firma"
"Password","Passwort"
"Confirm Password","Passwort best&auml;tigen"
"Create Account","Kundenkonto anlegen"
"Forgot Your Password?","Passwort vergessen?"
"Cancel","Abbrechen"
"loading please wait...","bitte warten, System l&auml;dt..."
"Login","Login"
"Subscribe to newsletter","Newsletter anfordern"
"Place Order","Bestellung absenden"
"Discount Codes","Rabatt Codes"
"Enter your coupon code if you have one.","Bitte geben Sie hier Ihren Rabatt Coupon Code ein."
"Apply Coupon","Coupon best&auml;tigen"
"Cancel Coupon","Coupon abbrechen"
"Close","Schlie&szlig;en"
"Card Verification Number Visual Reference","CVP"
"Payment method","Bezahlart"
"Order Review","Ihre Bestellung"
"Product Name","Bezeichnung"
"Price","Preis"
"Qty","Menge"
"Subtotal","Zwischensumme"
"Shipping Address","Lieferanschrift"
"Shipping method","Versandart"
"Same as Billing Address","Lieferanschrift = Rechnungsanschrift"
"Already registered? Click here to login.","Sie haben sich bereits registriert? Hier klicken f&uuml;r Login."
"Tax/VAT number","Steuernummer"
"Please select region"," state or province","Bitte Bundesland"," ausw&auml;hlen"
"Grand Total","Summe"
"Ship to the same address","An diese Anschrift liefern"
