" The customer doesn\'t exist in the system anymore"," Khách hàng không tồn tại trong hệ thống"
"""%s"" coupon code is not valid.","""%s"" Phiếu giảm giá không có giá trị."
"%s","%s"
"%s / %s rate:","%s / %s :"
"%s for %s","%s cho %s"
"%s order(s) can not be canceled","%s Đơn đặt hàng không thể hủy bỏ"
"%s order(s) not put on hold","%s order(s) not put on hold"
"%s order(s) not released from holding status","%s order(s) not released from holding status"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Điền giá thay đổi không bao gồm thuế"
"* - Enter custom price including tax","* - Điền giá thay đổi bao gồm thuế"
"About This Order:","Đơn hàng:"
"About Your Order","Xem đơn hàng"
"Account Information","Thông tin tài khoản"
"Action","Hành động"
"Actions","Các hành động"
"Add","Thêm"
"Add Gift Messsage","Thêm tin nhắn"
"Add New Address","Thêm địa chỉ mới"
"Add Order Comments","Thêm nhận xét đơn hàng"
"Add Products","Thêm sản phẩm"
"Add Selected Product(s) to Option","Thêm sản phẩm đã chọn vào Lựa chọn"
"Add Selected Product(s) to Order","Thêm sản phẩm đã chọn vào Đơn hàng"
"Add To Order","Thêm vào đơn hàng"
"Add Tracking Number","Thêm mã vận chuyển"
"Add a gift message for <strong>each gift item</strong>","Thêm tin nhắn quà tặng"
"Add a gift message for the <strong>entire order</strong>","Thêm tin nhắn quà tặng"
"Add comment to order","Thêm nhân xét cho đơn hàng"
"Add new comment to shipment","Thêm nhân xét vào gói hàng"
"Add new tracking number","Thêm số để theo dõi"
"Add to Cart","Thêm vào giỏ"
"Address","Địa chỉ"
"Address model is not defined","Địa chỉ không xác định"
"Address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract","Address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract"
"Adjustment Fee","Phí thay đổi"
"Adjustment Refund","Thay đổi hoàn tiền"
"Allow Reorder","Cho phép đặt hàng lại"
"Amount","Số lượng"
"Amount of %s pending approval on gateway.","Số lượng %s chờ xem xét"
"Amount: %s.","Số lượng: %s."
"Append Comments","Nhận xét chờ xem xét"
"Apply","Áp dụng"
"Apply Coupon Code","Áp dụng mã giảm giá"
"Are you sure you want to cancel this order?","Bạn có chắc chắn huỷ bỏ đơn hàng này?"
"Are you sure you want to send Creditmemo email to customer?","Are you sure you want to send Creditmemo email to customer?"
"Are you sure you want to send Invoice email to customer?","Are you sure you want to send Invoice email to customer?"
