"You need to have products in your cart to checkout, and your cart is empty.","Bạn cần thêm Sản phẩm vào Giỏ hàng để tiến hành thanh toán."
"Back to homepage","Trở về Trang chủ"
"Confirm password","Xác nhận lại mật mã"
"Confirm Password","Xác nhận lại mật mã"
"Please login with your email address and password.","Điền thông tin đăng nhập"
"Forgotten your password?","Quên mật khẩu?"
"Email address","Địa chỉ Email"
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Địa chỉ email này đã được đăng ký. Xin hãy <a href=""#"" onclick=""login_popup.show(); return false;"">Đăng nhập</a> hoặc sử dụng địa chỉ email khác."
"Invalid email address.","Sai địa chỉ Email."
"Please choose a shipping method.","Hãy chọn phương thức vận chuyển."
"Please enter valid details below.","Hãy chọn phương thức dưới đây."
"If you have forgotten your password, enter your email below and we\'ll send you a new password by email.","Nếu bạn quên mật khẩu, xin hãy điền địa chỉ email vào đây, chúng tôi sẽ gửi thông tin mật khẩu mới cho bạn!"
"We have now sent you a new password to your email address. Click the link below to return to login.","Chúng tôi vừa gửi thông tin mật khẩu mới vào địa chỉ Email của Quý khách! xin hãy Click vào link đăng nhập lại"
"Please enter a registered email address.","Xin  hãy nhập địa chỉ email đã đăng ký."
"Please enter a valid email address","Xin hãy nhập đúng địa chỉ email"
