"﻿Proceed to Checkout","Thanh toán"
"Checkout method","Phương thức thanh toán"
"Please select shipping methods for all addresses","Hãy chọn phương thức vận chuyển cho mọi địa chỉ"
"Shipping Methods","Phương thức vận chuyển"
"Payment method is not defined","Chưa định nghĩa phương thức thanh toán"
"State/Province","Tỉnh thành"
"Please specify the product option(s)","Hãy xác lập lựa chọn Sản phẩm"
"Edit Shipping Address","Sửa địa chỉ vận chuyển"
"Order Success","Đặt hàng thành công"
"Create Billing Address","Tạo địa chỉ thanh toán"
"Checkout","Thanh toán"
"Invalid data","Dữ liệu không hợp lệ"
"Edit Address","Sửa địa chỉ"
"Order review","Nhận xét đơn hàng"
"Billing Information","Thông tin thanh toán"
"Place Order","Đặt hàng"
"Change Billing Address","Đổi địa chỉ thanh toán"
"Select Addresses","Chọn các địa chỉ"
"Shipping Method","Phương thức vận chuyển"
"Indefinite product type","Kiểu Sản phẩm không xác định"
"Cannot remove item","Không thể bỏ Sản phẩm"
"Total for this address","Tổng số cho địa chỉ này"
"Product does not exist","Sản phẩm không tồn tại"
"Country","Quốc gia"
"Clear","Xóa"
"Shipping Information","Thông tin vận chuyển"
"Create Shipping Address","Tạo địa chỉ vận chuyển "
"Edit Billing Address","Sửa địa chỉ thanh toán"
"Some of the products you requested are not available in the desired quantity","Một số Sản phẩm bạn yêu cầu không có đủ số lượng mong muốn"
"Some of the products you requested are unavailable","Một số Sản phẩm bạn yêu cầu đã hết hàng"
"My Cart (%d item)","Giỏ hàng (%d sp)"
"Cannot update shopping cart","Không thể cập nhật Giỏ hàng"
"Checkout with Multiple Addresses","Thanh toán với nhiều địa chỉ"
"Ship to Multiple Addresses","Vận chuyển đến nhiều địa chỉ"
"My Cart","Giỏ hàng"
"review Order","Nhận xét đơn hàng"
"The item(s) marked in red are not available in the desired quantity. Please update the quantity of the item(s).","Sản phẩm hàng đánh dấu đỏ không còn đủ số lượng mong muốn. Hãy cập nhật số lượng Sản phẩm hàng."
"This product is out of stock","Sản phẩm này đã hết"
"Payment Information","Thông tin thanh toán"
"Requested quantity is not available","Không có đủ số lượng theo yêu cầu"
"Cannot move item to wishlist","Không thể chuyển Sản phẩm vào wishlist"
"My Cart (%s item)","Giỏ hàng (%s sp) "
"There is already a customer registered using this email address","Có một khách hàng đã đăng ký đang sử dụng email này"
"Send to","Gửi đến"
"Remove Item","Bỏ Sản phẩm"
"Based on your selection, you may be interested in the following Sản phẩm:","Dựa trên lựa chọn của bạn, có thể bạn cũng quan tâm đến những Sản phẩm sau:"
"Thank you for your purchase!","Cảm ơn quý khách đã mua hàng!"
"&laquo; Back to Select Addresses","&laquo; Trở lại Lựa chọn địa chỉ"
"Submitting order information...","Gửi thông tin đặt hàng…"
"Get a Quote","Xem báo giá"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc muốn lấy Sản phẩm này khỏi Giỏ hàng không?"
"Fax","Fax"
"Loading next step...","Tải bước kế tiếp…"
"Company","Công ty"
"Apply Coupon","Áp dụng"
"Already registered?","Đã đăng ký?"
"Subtotal","Tổng số phụ"
"Register","Đăng ký"
"Continue to Billing Information","Tiếp tục"
"Your order # is: %s","Số đơn hàng của bạn là: %s"
"Select Shipping Method","Chọn phương thức vận chuyển"
"Update Shopping Cart","Cập nhật Giỏ hàng"
"Select Address","Chọn địa chỉ"
"Telephone","Điện thoại"
"Shipping method has not been selected yet","Phương thức vận chuyển chưa được chọn"
"You have no items in your shopping cart.","Bạn không có Sản phẩm nào trong Giỏ hàng."
"&laquo; Back to Shopping Cart","&laquo; Về Giỏ hàng"
"Confirm Password","Xác nhận mật mã"
"Estimate Shipping and Tax","Ước tính phí vận chuyển và thuế"
"Last added Sản phẩm","Sản phẩm mới được thêm"
"Log in below to take advantage of Express Checkout:","Đăng nhập phía dưới để tận dụng thanh toán cấp tốc:"
"Continue to Success","Tiếp tục để hoàn thành"
"Billing Address","Địa chỉ thanh toán"
"Go to Cart","Đến Giỏ hàng"
"Select a shipping address from your address book or enter a new address.","Chọn một địa chỉ giao nhận từ sổ hoặc nhập một địa chỉ mới."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bạn sẽ nhận được email xác nhận chi tiết đơn hàng và đường dẫn để theo dõi tiến trình xử lý."
"Your Checkout Progress","Tiến trình thanh toán "
"&laquo; Back to Billing Information","&laquo; Trở lại Thông tin Thanh toán"
"&laquo; Back to Shipping Information","&laquo; Trở lại Thông tin vận chuyển"
"You may check out as a guest or register with us for future convenience:","Bạn có thể thanh toán như khách vãng lai hoặc đăng ký để thuận lợi hơn lần sau:"
"Continue Shopping","Tiếp tục mua sắm"
"Zip/Postal Code","Mã khu vực/bưu điện"
"Update Qty &amp; Addresses","Cập nhật"
"Product Name","Tên Sản phẩm"
"Your order # is: <a href=""%s"">%s</a>.","Số đơn hàng của bạn là <a href=”%s”>%s</a>"
"* Required Fields","* Trường bắt buộc"
"Sản phẩm","Sản phẩm"
"Continue to Shipping Information","Tiếp tục"
"Ship to this address","Giao đến địa chỉ này"
"Sorry, no quotes are available for this order at this time.","Phí vận chuyển sẽ được chúng tôi thông báo sau khi Quý khách đặt đơn hàng."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Hãy nhập một mã khu vực hợp lệ. Ví dụ 90602 hay 90602-1234."
"Remove Product","Gỡ bỏ Sản phẩm"
"Last Name","Họ"
"Back","Trở về"
"Change Payment Method","Đổi phương thức thanh toán"
"Grand Total:","Tổng số:"
"Shipping to","Vận chuyển đến"
"Address %s of %s","Địa chỉ %s của %s"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Chúng tôi đang xử lý và bạn sẽ nhận được email với chi tiết đơn đặt hàng. Khi đơn hàng đã được chuyển bạn sẽ nhận được email khác có đường kết nối để giúp theo dõi diễn tiến."
"Change Shipping Method","Đổi phương thức vận chuyển"
"Shopping Cart","Giỏ hàng"
"Forgot your password?","Quên mật mã?"
"Enter your destination to get a shipping estimate.","Nhập địa chỉ đến để ước tính phí vận chuyển."
"My Account","Tài khoản"
"Street Address","Địa chỉ đường"
"Shipping Address","Địa chỉ vận chuyển mặc định"
"Select a billing address from your address book or enter a new address.","Chọn một địa chỉ thanh toán từ sổ hoặc nhập một địa chỉ mới."
"Continue to Overview","Tiếp tục đến Tổng quan"
"Please <a href=""%s"">continue shopping</a>.","Để thêm sản phẩm vào giỏ hàng xin hãy <a href=""%s"">Tiếp tục xem sản phẩm</a>."
"Edit Your Cart","Soạn Giỏ hàng"
"You have no items in your cart.","Bạn không có Sản phẩm nào trong Giỏ"
"Easy access to your order history and status","Dễ dàng truy cập tình trạng và theo dõi đặt hàng của bạn"
"Register and save time!","Đăng ký và tiết kiệm thời gian!"
"Fast and easy check out","Thanh toán dễ dàng và nhanh chóng"
"Use Billing Address","Dùng địa chỉ thanh toán"
"Add to Wishlist","Thêm vào Wishlist"
"My Cart - <a href=""%s"">%d item(s)</a>","Giỏ hàng - <a href=""%s"">%d sp</a>"
"Move to Wishlist","Đưa vào Wishlist"
"Default Shipping","Vận chuyển mặc định"
"Checkout as a Guest or Register","Thanh toán kiểu Khách thường hoặc Đăng ký"
"Qty","Số lượng"
"Enter your coupon code if you have one.","Nhập mã phiếu mua hàng nếu có."
"Done","Xong"
"Close","Đóng"
"City","Quận/Huyện/Thành phố"
"Card Verification Number Visual Reference","Số tham khảo ảnh để kiểm tra thẻ"
"First Name","Tên"
"Unit Price","Đơn vị giá"
"Please select region, state or province","Hãy chọn khu vực, vùng hoặc tỉnh thành"
"Product","Sản phẩm"
"Payment Method","Phương thức thanh toán"
"Price","Giá"
"Street Address 2","Địa chỉ 2"
